Address,Name,Size,Length,SCR,Description,Category,Docs
00662F88,Units.dat - Portrait,2,228,Simple Data,0xFFFF = No Portrait,Engine,Struct
00663150,Units.dat - Elevation Level,1,228,Simple Data,Elevation Level,Engine,Struct
00663238,Units.dat - Sight Range,1,228,Simple Data,Set value from 0-11.  Values greater than 11 will crash.  ...,Engine,Struct
00663320,Units.dat - Attack Unit Order,1,228,Simple Data,Orders.dat reference,Engine,Struct
00663408,Units.dat - Build Score,2,228,Simple Data,,Engine,Struct
006635D0,Units.dat - Armor Upgrade ID,1,228,Simple Data,Upgrades.dat index,Engine,Struct
006636B8,Units.dat - Ground Weapon,1,228,Simple Data,weapons.dat reference,Engine,Struct
006637A0,Units.dat - Group Flags,1,228,Simple Data,"0x01 - Zerg (Uses underlings, can build on creep) 0x02 - T...",Engine,Struct
00663888,Units.dat - Mineral Cost,2,228,Simple Data,,Engine,Struct
00663A50,Units.dat - Attack Move Order ID,1,228,Simple Data,Orders.dat index,Engine,Struct
00663B38,"Units.dat - ""Pissed"" Sound Start",2,106,Simple Data,sfxdata.dat start index,Engine,Struct
00663C10,"Units.dat - ""Yes"" Sound Start",2,107,Simple Data,sfxdata.dat start index,Engine,Struct
00663CE8,Units.dat - Supply Used,1,228,Simple Data,Value here is twice what you see in-game. (Hence why 2 Zerg...,Engine,Struct
00663DD0,Units.dat - Rank/Sublabel,1,228,Simple Data,"""Controls ground units movement: units with lower Rank...",Engine,Struct
00663EB8,Units.dat - Kill Score,2,228,Simple Data,Kill Score,Engine,Struct
00664080,Units.dat - Advanced Flags,4,228,Simple Data,0x00000001 - Building 0x00000002 - Addon 0x00000004 - Fly...,Engine,Struct
00664410,Units.dat - Transport Space Required,1,228,Simple Data,,Engine,Struct
006644F8,Units.dat - Graphics (Flingy ID),1,228,Backed By Code,flingy.dat index,Engine,Struct
006645E0,Units.dat - Max Hits (Ground),1,228,Simple Data,This value is for statistics purposes only (?),Engine,Struct
006646C8,Units.dat - Supply Provided,1,228,Simple Data,The value is twice what you see in-game.,Engine,Struct
006647B0,Units.dat - Has Shields,1,228,Simple Data,"Example: Unset ""has shields"" for Protoss Observat...",Engine,Struct
00664898,Units.dat - Idle Order,1,228,Simple Data,"""Return to Idle"" in DatEdit Orders.dat index",Engine,Struct
00664980,Units.dat - Infestation Unit,2,96,Simple Data,Only exists for buildings (First entry is 106 Command Cente...,Engine,Struct
00664A40,Orders.dat - Unknown 4,1,189,Simple Data,,Order,Type
00664B00,Orders.dat - Use Weapon Targetting,1,189,Simple Data,,Order,Type
00664BC0,Orders.dat - Unknown 12,1,189,Simple Data,,Order,Type
00664C80,Orders.dat - Unknown 11,1,189,Simple Data,,Order,Type
00664D40,Orders.dat - Animation,1,189,Simple Data,0 = Initial 1 = Death 2 = Ground Attack - Initial 3 = Ai...,Order,Core
00664E00,Orders.dat - Energy Technology,1,189,Simple Data,Techdata.dat index for energy,Order,Core
00664EC0,Orders.dat - Highlight Button ID,2,189,Simple Data,cmdicons.grp frame index or 0xFFFF for none.,Order,Core
00665040,Orders.dat - Can Be Interrupted,1,189,Simple Data,,Order,Control
